I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0140,UGCS1T03,INTRODUCTION TO COMPUTERS AND PROBLEM SOLVING,16,22,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0201,UGBS1T04,ENGINEERING PHYSICS,23,23,3,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0256,UGBS1T02,ENGINEERING MATHEMATICS-I,14,39,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0335,UGBS1T03,ENGINEERING MATHEMATICS-II,23,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A12B1,UGBS1T02,ENGINEERING MATHEMATICS-I,13,27,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A12B1,UGBS1T05,ENGINEERING CHEMISTRY,15,2,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0289,UGBS1T02,ENGINEERING MATHEMATICS-I,24,22,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A1203,UGBS1T02,ENGINEERING MATHEMATICS-I,17,25,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0144,UGBS1T02,ENGINEERING MATHEMATICS-I,23,32,4,C,5,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0144,UGME1T01,ENGINEERING DRAWING,25,10,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0144,UGCE1T01,BASIC CIVIL ENGINEERING,25,21,3,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0536,UGBS1T02,ENGINEERING MATHEMATICS-I,27,35,4,B,6,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A0587,UGBS1T02,ENGINEERING MATHEMATICS-I,14,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,16B01A0294,UGBS1T02,ENGINEERING MATHEMATICS-I,31,-1,0,F,0,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,15B01A12A6,UGBS1T02,ENGINEERING MATHEMATICS-I,17,32,4,P,4,
I B.TECH I SEMESTER (R14-R) SUPPLEMENTARY EXAMINATION ,December-2020,NULL,17B01A0250,UGBS1T02,ENGINEERING MATHEMATICS-I,26,27,4,C,5,
